[2020-03-30 13:23:24,727] INFO                                                      server               Чтение списка объектов из БД
[2020-03-30 13:23:29,448] INFO                                                      server               Чтение списка объектов из БД завершено. Считано 942
[2020-03-30 13:23:29,454] INFO                                                      server               Чтение номера последней заявки в прошлом году
[2020-03-30 13:23:30,559] INFO                                                      server               Присвоен номер 280
[2020-03-30 13:23:30,568] INFO                                                      server               Присвоен номер 1261
[2020-03-30 13:23:30,576] INFO                                                      server               Присвоен номер 1881
[2020-03-30 13:23:30,584] INFO                                                      server               Присвоен номер 2389
[2020-03-30 13:23:30,590] INFO                                                      server               Присвоен номер 2987
[2020-03-30 13:23:30,597] INFO                                                      server               Присвоен номер 3535
[2020-03-30 13:23:30,604] INFO                                                      server               Присвоен номер 4106
[2020-03-30 13:23:30,610] INFO                                                      server               Присвоен номер 4818
[2020-03-30 13:23:30,618] INFO                                                      server               Присвоен номер 5705
[2020-03-30 13:23:30,620] INFO                                                      server               Чтение номера последней заявки  на кран в прошлом году
[2020-03-30 13:23:30,967] INFO                                                      server               Присвоен номер 1578
[2020-03-30 13:23:30,977] INFO                                                      server               Присвоен номер 5282
[2020-03-30 13:23:33,163] INFO                                                      client               casdc1.corp.gidroogk.com
[2020-03-30 13:23:35,465] INFO                                                      server               Пользователь авторизовался в системе: Name: rj128x_pc\rj128x, FullName: rj128x_pc\rj128x
[2020-03-30 13:23:35,496] INFO                                                      service              Получение списка пользователей (LoadUsers)
[2020-03-30 13:23:35,536] INFO                                                      service              Получение списка объектов (LoadOrderObjects)
[2020-03-30 13:23:35,589] INFO                                                      ordersContext        Получение списка заказов (по умолчанию)
[2020-03-30 13:23:36,590] INFO                                                      ordersContext        Возврат списка заказов (по умолчанию) 23
[2020-03-30 13:23:36,744] INFO                                                      client               Главная страница загружена
[2020-03-30 13:48:50,663] INFO                                                      server               Чтение списка объектов из БД
[2020-03-30 13:48:51,311] INFO                                                      server               Чтение списка объектов из БД завершено. Считано 942
[2020-03-30 13:48:51,315] INFO                                                      server               Чтение номера последней заявки в прошлом году
[2020-03-30 13:48:51,389] INFO                                                      server               Присвоен номер 280
[2020-03-30 13:48:51,403] INFO                                                      server               Присвоен номер 1261
[2020-03-30 13:48:51,418] INFO                                                      server               Присвоен номер 1881
[2020-03-30 13:48:51,431] INFO                                                      server               Присвоен номер 2389
[2020-03-30 13:48:51,444] INFO                                                      server               Присвоен номер 2987
[2020-03-30 13:48:51,464] INFO                                                      server               Присвоен номер 3535
[2020-03-30 13:48:51,478] INFO                                                      server               Присвоен номер 4106
[2020-03-30 13:48:51,496] INFO                                                      server               Присвоен номер 4818
[2020-03-30 13:48:51,510] INFO                                                      server               Присвоен номер 5705
[2020-03-30 13:48:51,514] INFO                                                      server               Чтение номера последней заявки  на кран в прошлом году
[2020-03-30 13:48:51,626] INFO                                                      server               Присвоен номер 1578
[2020-03-30 13:48:51,637] INFO                                                      server               Присвоен номер 5282
[2020-03-30 13:48:51,643] INFO                                                      client               casdc1.corp.gidroogk.com
[2020-03-30 13:48:54,738] INFO                                                      server               Пользователь авторизовался в системе: Name: rj128x_pc\rj128x, FullName: rj128x_pc\rj128x
[2020-03-30 13:48:54,765] INFO                                                      service              Получение списка пользователей (LoadUsers)
[2020-03-30 13:48:54,802] INFO                                                      service              Получение списка объектов (LoadOrderObjects)
[2020-03-30 13:48:54,848] INFO                                                      ordersContext        Получение списка заказов (по умолчанию)
[2020-03-30 13:48:55,105] INFO                                                      ordersContext        Возврат списка заказов (по умолчанию) 23
[2020-03-30 13:48:55,309] INFO                                                      client               Главная страница загружена
[2020-03-30 13:49:50,999] INFO                                                      server               Чтение списка объектов из БД
[2020-03-30 13:49:51,630] INFO                                                      server               Чтение списка объектов из БД завершено. Считано 942
[2020-03-30 13:49:51,630] INFO                                                      server               Чтение номера последней заявки в прошлом году
[2020-03-30 13:49:51,686] INFO                                                      server               Присвоен номер 280
[2020-03-30 13:49:51,701] INFO                                                      server               Присвоен номер 1261
[2020-03-30 13:49:51,723] INFO                                                      server               Присвоен номер 1881
[2020-03-30 13:49:51,739] INFO                                                      server               Присвоен номер 2389
[2020-03-30 13:49:51,756] INFO                                                      server               Присвоен номер 2987
[2020-03-30 13:49:51,778] INFO                                                      server               Присвоен номер 3535
[2020-03-30 13:49:51,791] INFO                                                      server               Присвоен номер 4106
[2020-03-30 13:49:51,803] INFO                                                      server               Присвоен номер 4818
[2020-03-30 13:49:51,814] INFO                                                      server               Присвоен номер 5705
[2020-03-30 13:49:51,814] INFO                                                      server               Чтение номера последней заявки  на кран в прошлом году
[2020-03-30 13:49:51,964] INFO                                                      server               Присвоен номер 1578
[2020-03-30 13:49:51,975] INFO                                                      server               Присвоен номер 5282
[2020-03-30 13:49:51,976] INFO                                                      client               casdc1.corp.gidroogk.com
[2020-03-30 13:49:54,308] INFO                                                      server               Пользователь авторизовался в системе: Name: rj128x_pc\rj128x, FullName: rj128x_pc\rj128x
[2020-03-30 13:49:54,331] INFO                                                      service              Получение списка пользователей (LoadUsers)
[2020-03-30 13:49:54,368] INFO                                                      service              Получение списка объектов (LoadOrderObjects)
[2020-03-30 13:49:54,400] INFO                                                      ordersContext        Получение списка заказов (по умолчанию)
[2020-03-30 13:49:54,624] INFO                                                      ordersContext        Возврат списка заказов (по умолчанию) 23
[2020-03-30 13:49:54,747] INFO                                                      client               Главная страница загружена
[2020-03-30 14:00:18,364] INFO                                                      server               Чтение списка объектов из БД
[2020-03-30 14:00:18,567] INFO                                                      server               Чтение списка объектов из БД завершено. Считано 942
[2020-03-30 14:00:18,571] INFO                                                      server               Чтение номера последней заявки в прошлом году
[2020-03-30 14:00:18,612] INFO                                                      server               Присвоен номер 280
[2020-03-30 14:00:18,626] INFO                                                      server               Присвоен номер 1261
[2020-03-30 14:00:18,638] INFO                                                      server               Присвоен номер 1881
[2020-03-30 14:00:18,649] INFO                                                      server               Присвоен номер 2389
[2020-03-30 14:00:18,656] INFO                                                      server               Присвоен номер 2987
[2020-03-30 14:00:18,666] INFO                                                      server               Присвоен номер 3535
[2020-03-30 14:00:18,677] INFO                                                      server               Присвоен номер 4106
[2020-03-30 14:00:18,687] INFO                                                      server               Присвоен номер 4818
[2020-03-30 14:00:18,710] INFO                                                      server               Присвоен номер 5705
[2020-03-30 14:00:18,714] INFO                                                      server               Чтение номера последней заявки  на кран в прошлом году
[2020-03-30 14:00:18,820] INFO                                                      server               Присвоен номер 1578
[2020-03-30 14:00:18,826] INFO                                                      server               Присвоен номер 5282
[2020-03-30 14:00:18,997] INFO                                                      client               casdc1.corp.gidroogk.com
[2020-03-30 14:00:19,477] INFO                                                      server               Пользователь авторизовался в системе: Name: rj128x_pc\rj128x, FullName: rj128x_pc\rj128x
[2020-03-30 14:00:19,504] INFO                                                      service              Получение списка пользователей (LoadUsers)
[2020-03-30 14:00:19,544] INFO                                                      service              Получение списка объектов (LoadOrderObjects)
[2020-03-30 14:00:19,585] INFO                                                      ordersContext        Получение списка заказов (по умолчанию)
[2020-03-30 14:00:19,825] INFO                                                      ordersContext        Возврат списка заказов (по умолчанию) 23
[2020-03-30 14:00:19,942] INFO                                                      client               Главная страница загружена
[2020-03-30 14:05:24,130] INFO                                                      server               Чтение списка объектов из БД
[2020-03-30 14:05:24,703] INFO                                                      server               Чтение списка объектов из БД завершено. Считано 942
[2020-03-30 14:05:24,707] INFO                                                      server               Чтение номера последней заявки в прошлом году
[2020-03-30 14:05:24,777] INFO                                                      server               Присвоен номер 280
[2020-03-30 14:05:24,790] INFO                                                      server               Присвоен номер 1261
[2020-03-30 14:05:24,806] INFO                                                      server               Присвоен номер 1881
[2020-03-30 14:05:24,819] INFO                                                      server               Присвоен номер 2389
[2020-03-30 14:05:24,830] INFO                                                      server               Присвоен номер 2987
[2020-03-30 14:05:24,841] INFO                                                      server               Присвоен номер 3535
[2020-03-30 14:05:24,854] INFO                                                      server               Присвоен номер 4106
[2020-03-30 14:05:24,865] INFO                                                      server               Присвоен номер 4818
[2020-03-30 14:05:24,876] INFO                                                      server               Присвоен номер 5705
[2020-03-30 14:05:24,880] INFO                                                      server               Чтение номера последней заявки  на кран в прошлом году
[2020-03-30 14:05:25,068] INFO                                                      server               Присвоен номер 1578
[2020-03-30 14:05:25,079] INFO                                                      server               Присвоен номер 5282
[2020-03-30 14:05:25,086] INFO                                                      client               casdc1.corp.gidroogk.com
[2020-03-30 14:05:28,845] INFO                                                      server               Пользователь авторизовался в системе: Name: rj128x_pc\rj128x, FullName: rj128x_pc\rj128x
[2020-03-30 14:05:28,899] INFO                                                      service              Получение списка пользователей (LoadUsers)
[2020-03-30 14:05:44,890] INFO                                                      server               Чтение списка объектов из БД
[2020-03-30 14:05:45,819] INFO                                                      server               Чтение списка объектов из БД завершено. Считано 942
[2020-03-30 14:05:45,819] INFO                                                      server               Чтение номера последней заявки в прошлом году
[2020-03-30 14:05:45,900] INFO                                                      server               Присвоен номер 280
[2020-03-30 14:05:45,935] INFO                                                      server               Присвоен номер 1261
[2020-03-30 14:05:45,947] INFO                                                      server               Присвоен номер 1881
[2020-03-30 14:05:45,958] INFO                                                      server               Присвоен номер 2389
[2020-03-30 14:05:45,969] INFO                                                      server               Присвоен номер 2987
[2020-03-30 14:05:45,981] INFO                                                      server               Присвоен номер 3535
[2020-03-30 14:05:45,995] INFO                                                      server               Присвоен номер 4106
[2020-03-30 14:05:46,024] INFO                                                      server               Присвоен номер 4818
[2020-03-30 14:05:46,038] INFO                                                      server               Присвоен номер 5705
[2020-03-30 14:05:46,038] INFO                                                      server               Чтение номера последней заявки  на кран в прошлом году
[2020-03-30 14:05:46,276] INFO                                                      server               Присвоен номер 1578
[2020-03-30 14:05:46,287] INFO                                                      server               Присвоен номер 5282
[2020-03-30 14:05:46,287] INFO                                                      client               casdc1.corp.gidroogk.com
[2020-03-30 14:05:49,469] INFO                                                      server               Пользователь авторизовался в системе: Name: rj128x_pc\rj128x, FullName: rj128x_pc\rj128x
[2020-03-30 14:05:49,501] INFO                                                      service              Получение списка пользователей (LoadUsers)
[2020-03-30 14:06:22,533] INFO                                                      server               Чтение списка объектов из БД
[2020-03-30 14:06:23,338] INFO                                                      server               Чтение списка объектов из БД завершено. Считано 942
[2020-03-30 14:06:23,338] INFO                                                      server               Чтение номера последней заявки в прошлом году
[2020-03-30 14:06:23,534] INFO                                                      server               Присвоен номер 280
[2020-03-30 14:06:23,547] INFO                                                      server               Присвоен номер 1261
[2020-03-30 14:06:23,559] INFO                                                      server               Присвоен номер 1881
[2020-03-30 14:06:23,622] INFO                                                      server               Присвоен номер 2389
[2020-03-30 14:06:23,644] INFO                                                      server               Присвоен номер 2987
[2020-03-30 14:06:23,679] INFO                                                      server               Присвоен номер 3535
[2020-03-30 14:06:23,751] INFO                                                      server               Присвоен номер 4106
[2020-03-30 14:06:23,776] INFO                                                      server               Присвоен номер 4818
[2020-03-30 14:06:23,790] INFO                                                      server               Присвоен номер 5705
[2020-03-30 14:06:23,790] INFO                                                      server               Чтение номера последней заявки  на кран в прошлом году
[2020-03-30 14:06:24,321] INFO                                                      server               Присвоен номер 1578
[2020-03-30 14:06:24,340] INFO                                                      server               Присвоен номер 5282
[2020-03-30 14:06:24,341] INFO                                                      client               casdc1.corp.gidroogk.com
[2020-03-30 14:06:25,045] INFO                                                      server               Пользователь авторизовался в системе: Name: rj128x_pc\rj128x, FullName: rj128x_pc\rj128x
[2020-03-30 14:06:25,076] INFO                                                      service              Получение списка пользователей (LoadUsers)
[2020-03-30 14:07:05,926] INFO                                                      server               Чтение списка объектов из БД
[2020-03-30 14:07:06,840] INFO                                                      server               Чтение списка объектов из БД завершено. Считано 942
[2020-03-30 14:07:06,840] INFO                                                      server               Чтение номера последней заявки в прошлом году
[2020-03-30 14:07:06,923] INFO                                                      server               Присвоен номер 280
[2020-03-30 14:07:06,935] INFO                                                      server               Присвоен номер 1261
[2020-03-30 14:07:06,952] INFO                                                      server               Присвоен номер 1881
[2020-03-30 14:07:06,966] INFO                                                      server               Присвоен номер 2389
[2020-03-30 14:07:07,036] INFO                                                      server               Присвоен номер 2987
[2020-03-30 14:07:07,047] INFO                                                      server               Присвоен номер 3535
[2020-03-30 14:07:07,059] INFO                                                      server               Присвоен номер 4106
[2020-03-30 14:07:07,072] INFO                                                      server               Присвоен номер 4818
[2020-03-30 14:07:07,084] INFO                                                      server               Присвоен номер 5705
[2020-03-30 14:07:07,084] INFO                                                      server               Чтение номера последней заявки  на кран в прошлом году
[2020-03-30 14:07:07,347] INFO                                                      server               Присвоен номер 1578
[2020-03-30 14:07:07,359] INFO                                                      server               Присвоен номер 5282
[2020-03-30 14:07:07,360] INFO                                                      client               casdc1.corp.gidroogk.com
[2020-03-30 14:07:08,267] INFO                                                      server               Пользователь авторизовался в системе: Name: rj128x_pc\rj128x, FullName: rj128x_pc\rj128x
[2020-03-30 14:07:08,308] INFO                                                      service              Получение списка пользователей (LoadUsers)
[2020-03-30 14:07:45,767] INFO                                                      server               Чтение списка объектов из БД
[2020-03-30 14:07:46,416] INFO                                                      server               Чтение списка объектов из БД завершено. Считано 942
[2020-03-30 14:07:46,416] INFO                                                      server               Чтение номера последней заявки в прошлом году
[2020-03-30 14:07:46,480] INFO                                                      server               Присвоен номер 280
[2020-03-30 14:07:46,492] INFO                                                      server               Присвоен номер 1261
[2020-03-30 14:07:46,504] INFO                                                      server               Присвоен номер 1881
[2020-03-30 14:07:46,545] INFO                                                      server               Присвоен номер 2389
[2020-03-30 14:07:46,562] INFO                                                      server               Присвоен номер 2987
[2020-03-30 14:07:46,581] INFO                                                      server               Присвоен номер 3535
[2020-03-30 14:07:46,593] INFO                                                      server               Присвоен номер 4106
[2020-03-30 14:07:46,622] INFO                                                      server               Присвоен номер 4818
[2020-03-30 14:07:46,664] INFO                                                      server               Присвоен номер 5705
[2020-03-30 14:07:46,664] INFO                                                      server               Чтение номера последней заявки  на кран в прошлом году
[2020-03-30 14:07:46,848] INFO                                                      server               Присвоен номер 1578
[2020-03-30 14:07:46,858] INFO                                                      server               Присвоен номер 5282
[2020-03-30 14:07:46,859] INFO                                                      client               casdc1.corp.gidroogk.com
[2020-03-30 14:07:48,529] INFO                                                      server               Пользователь авторизовался в системе: Name: rj128x_pc\rj128x, FullName: rj128x_pc\rj128x
[2020-03-30 14:07:48,577] INFO                                                      service              Получение списка пользователей (LoadUsers)
[2020-03-30 14:08:20,551] INFO                                                      service              Получение списка объектов (LoadOrderObjects)
[2020-03-30 14:08:20,589] INFO                                                      ordersContext        Получение списка заказов (по умолчанию)
[2020-03-30 14:08:20,847] INFO                                                      ordersContext        Возврат списка заказов (по умолчанию) 23
[2020-03-30 14:08:21,001] INFO                                                      client               Главная страница загружена
[2020-03-30 15:11:14,338] INFO                                                      server               Чтение списка объектов из БД
[2020-03-30 15:11:15,875] INFO                                                      server               Чтение списка объектов из БД завершено. Считано 942
[2020-03-30 15:11:15,875] INFO                                                      server               Чтение номера последней заявки в прошлом году
[2020-03-30 15:11:15,925] INFO                                                      server               Присвоен номер 280
[2020-03-30 15:11:15,937] INFO                                                      server               Присвоен номер 1261
[2020-03-30 15:11:15,952] INFO                                                      server               Присвоен номер 1881
[2020-03-30 15:11:15,963] INFO                                                      server               Присвоен номер 2389
[2020-03-30 15:11:15,974] INFO                                                      server               Присвоен номер 2987
[2020-03-30 15:11:15,986] INFO                                                      server               Присвоен номер 3535
[2020-03-30 15:11:15,995] INFO                                                      server               Присвоен номер 4106
[2020-03-30 15:11:16,002] INFO                                                      server               Присвоен номер 4818
[2020-03-30 15:11:16,010] INFO                                                      server               Присвоен номер 5705
[2020-03-30 15:11:16,010] INFO                                                      server               Чтение номера последней заявки  на кран в прошлом году
[2020-03-30 15:11:16,087] INFO                                                      server               Присвоен номер 1578
[2020-03-30 15:11:16,097] INFO                                                      server               Присвоен номер 5282
[2020-03-30 15:11:16,116] INFO                                                      client               casdc1.corp.gidroogk.com
[2020-03-30 15:11:23,521] INFO                                                      server               Пользователь авторизовался в системе: Name: rj128x_pc\rj128x, FullName: rj128x_pc\rj128x
[2020-03-30 15:11:23,546] INFO                                                      service              Получение списка пользователей (LoadUsers)
[2020-03-30 15:11:23,588] INFO                                                      service              Получение списка объектов (LoadOrderObjects)
